date,time,time_zone,format,text,notes,favorite,date_utc,time_utc,metadata
30-01-2025,12:12:53,India Standard Time,QR Code,CSE _ 22551A05J4 _ 3-1,,0,30-01-2025,06:42:53,
30-01-2025,12:12:56,India Standard Time,QR Code,EEE _ 22551A0270 _ 3-1,,0,30-01-2025,06:42:56,
30-01-2025,12:12:58,India Standard Time,QR Code,CSE _ 22551A0508 _ 3-1,,0,30-01-2025,06:42:58,
30-01-2025,12:13:02,India Standard Time,QR Code,CSM _ 22551A4285 _ 3-1,,0,30-01-2025,06:43:02,"{""ec"":""L""}"
30-01-2025,12:13:04,India Standard Time,QR Code,MEC _ 22551A0302 _ 3-1,,0,30-01-2025,06:43:04,
30-01-2025,12:13:08,India Standard Time,QR Code,CSE _ 22551A0516 _ 3-1,,0,30-01-2025,06:43:08,"{""ec"":""L""}"
30-01-2025,12:13:11,India Standard Time,QR Code,CSE _ 22T91A0559 _ 3-1,,0,30-01-2025,06:43:11,"{""ec"":""L""}"
30-01-2025,12:13:14,India Standard Time,QR Code,CSE _ 22551A05D0 _ 3-1,,0,30-01-2025,06:43:14,
30-01-2025,12:13:19,India Standard Time,QR Code,ECE _ 23555A0412 _ 3-1,,0,30-01-2025,06:43:19,
30-01-2025,12:13:21,India Standard Time,QR Code,ECE _ 22551A04A5 _ 3-1,,0,30-01-2025,06:43:21,"{""ec"":""L""}"
30-01-2025,12:13:22,India Standard Time,QR Code,ECE _ 22551A04B5 _ 3-1,,0,30-01-2025,06:43:22,"{""ec"":""L""}"
30-01-2025,12:13:24,India Standard Time,QR Code,CSE _ 22551A0533 _ 3-1,,0,30-01-2025,06:43:24,"{""ec"":""L""}"
30-01-2025,12:13:26,India Standard Time,QR Code,CSE _ 22551A0530 _ 3-1,,0,30-01-2025,06:43:26,"{""ec"":""L""}"
30-01-2025,12:13:29,India Standard Time,QR Code,CSE _ 22551A0547 _ 3-1,,0,30-01-2025,06:43:29,
30-01-2025,12:14:22,India Standard Time,QR Code,ECE _ 23555A0414 _ 3-1,,0,30-01-2025,06:44:22,
30-01-2025,12:14:24,India Standard Time,QR Code,CSM _ 22551A4273 _ 3-1,,0,30-01-2025,06:44:24,
30-01-2025,12:14:25,India Standard Time,QR Code,CSM _ 23555A4205 _ 3-1,,0,30-01-2025,06:44:25,"{""ec"":""L""}"
30-01-2025,12:14:40,India Standard Time,QR Code,CSM _ 22551A4215 _ 3-1,,0,30-01-2025,06:44:40,
30-01-2025,12:14:47,India Standard Time,QR Code,CSM _ 22551A4225 _ 3-1,,0,30-01-2025,06:44:47,"{""ec"":""L""}"
30-01-2025,12:14:54,India Standard Time,QR Code,CSE _ 22551A0546 _ 3-1,,0,30-01-2025,06:44:54,
30-01-2025,12:14:57,India Standard Time,QR Code,CSE _ 22551A0528 _ 3-1,,0,30-01-2025,06:44:57,
30-01-2025,12:14:58,India Standard Time,QR Code,CSM _ 22551A4219 _ 3-1,,0,30-01-2025,06:44:58,"{""ec"":""L""}"
30-01-2025,12:15:00,India Standard Time,QR Code,CSE _ 22551A0566 _ 3-1,,0,30-01-2025,06:45:00,
30-01-2025,12:15:22,India Standard Time,QR Code,ECE _ 22551A0479 _ 3-1,,0,30-01-2025,06:45:22,
30-01-2025,12:15:27,India Standard Time,QR Code,ECE _ 22551A04E4 _ 3-1,,0,30-01-2025,06:45:27,"{""ec"":""L""}"
30-01-2025,12:15:29,India Standard Time,QR Code,ECE _ 22551A0483 _ 3-1,,0,30-01-2025,06:45:29,
30-01-2025,12:15:34,India Standard Time,QR Code,EEE _ 23555A0225 _ 3-1,,0,30-01-2025,06:45:34,"{""ec"":""L""}"
30-01-2025,12:16:13,India Standard Time,QR Code,CSE _ 22551A05J3 _ 3-1,,0,30-01-2025,06:46:13,
30-01-2025,12:16:15,India Standard Time,QR Code,CSE _ 22551A05E6 _ 3-1,,0,30-01-2025,06:46:15,"{""ec"":""L""}"
30-01-2025,12:16:20,India Standard Time,QR Code,EEE _ 23555a0215 _ 3-1,,0,30-01-2025,06:46:20,"{""ec"":""L""}"
30-01-2025,12:16:22,India Standard Time,QR Code,CSE _ 22551A05J8 _ 3-1,,0,30-01-2025,06:46:22,"{""ec"":""L""}"
30-01-2025,12:16:25,India Standard Time,QR Code,CSE _ 23555A0516 _ 3-1,,0,30-01-2025,06:46:25,
30-01-2025,12:16:29,India Standard Time,QR Code,CSM _ 22551A4227 _ 3-1,,0,30-01-2025,06:46:29,
30-01-2025,12:16:31,India Standard Time,QR Code,CSD _ 23555A4404 _ 3-1,,0,30-01-2025,06:46:31,"{""ec"":""L""}"
30-01-2025,12:16:47,India Standard Time,QR Code,CSE _ 22551A05G4 _ 3-1,,0,30-01-2025,06:46:47,
